La Boheme New York|15| $286 |5|0|34|2,302|153|29| $136 |13|413| $64,491 
Houston Symphony|6| $15 |15|0|30|140|18|76| $30 |4|363| $13,719 
John Williams|$1 | $89 |28|3|28|132|132|$37 | $82 |25|19,265| $1,922,241 
Distant Worlds - Music From Final Fantasy|$6 | $120 |9|0|26|252|8|$21 | $92 |6|188| $19,943 
Renee Fleming|$8 | $206 |6|5|25|74|4|$24 | $110 |4|101| $13,632 
Placido Domingo|$2 | $157 |24|0|24|130|130|$7 | $164 |20|341| $69,978 
Norma tickets - New York|$12 | $332 |10|0|21|1,212|116|$0 ||||
Turandot New York|15| $121 |5|0|21|2,285|150|5| $185 |8|32| $6,348 
Itzhak Perlman|16| $114 |10|0|20|594|14|119| $142 |7|1,557| $238,465 
Philadelphia Orchestra|17| $275 |17|0|17|171|8|87| $75 |4|774| $73,294 
National Symphony Orchestra|21| $144 |7|0|15|501|31|156| $67 |4|1,515| $123,665 
Hollywood Bowl Orchestra Parking Passes|3| $25 |4|2|12|22|8|4| $32 |1|7| $383 
Turandot San Francisco|12| $189 |2|0|12|301|33|0||||
The Magic Flute New York|5| $85 |4|0|12|730|148|6| $75 |137|877| $69,424 
Aida Washington DC|10| $204 |5|0|10|45|4|0||||
Die Zauberflote New York|5| $389 |4|0|8|782|161|6| $150 |2|8| $1,012 
Madama Butterfly - New York|12| $177 |4|0|8|1,758|148|13| $135 |9|161| $33,976 
Andrea Bocelli Parking Passes|2| $36 |4|0|8|44|22|20| $33 |9|404| $16,528 
New York Philharmonic|142| $199 |2|0|8|1,346|4|375| $122 |4|2,246| $370,519 
Gustavo Dudamel|3| $110 |7|0|7|71|10|16| $77 |67|1,495| $162,631 
55|$168 | $2 |0|6|238|5|136|$60 | $8 |1,425|145,396|
Andre Rieu Parking Passes|6| $35 |1|0|5|163|4|0||||
Black Violin|16| $109 |2|0|5|233|12|32| $60 |4|156| $10,007 
Orchestra di Santa Cecilia|3| $333 |2|0|5|14|7|0||||
Tosca - New York|15| $232 |2|0|4|2,063|141|13| $312 |2|17| $4,641 
Yuja Wang|5| $62 |2|0|2|94|34|20| $83 |14|246| $25,715 
John Williams Parking Passes|1| $33 |2|0|2|6|6|5| $40 |14|68| $3,470 
Los Angeles Philharmonic Parking Passes|31| $34 |2|0|2|1,879|70|97| $30 |2|85| $3,806 
Yo-Yo Ma Parking Passes|2| $104 |2|0|2|8|4|3||0||
Nabucco Los Angeles|6| $243 |2|0|2|123|20|0||||
The Merry Widow New York|9| $189 |2|0|2|1,411|158|4| $61 |8|8| $488 
Cosi Fan Tutte - New York|11| $586 |2|0|2|1,600|147|0||||
Jose Carreras|1| $148 |2|0|2|55|55|0||||
Chicago Symphony Orchestra|186| $100 |2|0|2|2,847|4|204| $59 |4|1,241| $93,628 
Seattle Symphony|157| $80 |2|0|2|26|4|57| $77 |3|181| $32,648 
San Francisco Symphony|36| $50 |2|0|2|68|3|207| $102 |4|2,500| $244,391 
David Garrett|2| $173 |1|0|1|2|2|20| $106 |19|345| $43,275 
Nashville Symphony|32| $350 |1|0|1|470|16|56| $88 |4|462| $58,928 
James Newton Howard|2||0|0||25|12|0||||
Pan American Symphony Orchestra|1||0|0|||0|1| $227 |3|3| $681 
Yann Tiersen|4||0|0||19|8|25| $47 |4|167| $7,870 
Moby Dick Washington DC|42||0|0|||0|0||||
Canadian Brass|2||0|0||33|16|7| $68 |2|4| $274 
Rigoletto Chicago|8||0|0||152|17|6| $132 |2|24| $3,166 
Hawaii Symphony Orchestra|2||0|0|||0|0||||
North Carolina Symphony|9||0|0|||0|16| $69 |10|64| $4,581 
Itzhak Perlman Parking Passes|1||0|0|||0|1||0||
Colorado Symphony Orchestra|76||0|0||263|11|27| $53 |4|465| $35,971 
Ennio Morricone|1||0|0||4|4|3| $169 |133|322| $67,877 
London Symphony Orchestra|10||0|0||30|8|9| $63 |2|26| $1,584 
Royal Philharmonic Orchestra|5||0|0||99|15|27| $69 |8|704| $57,361 
The Legend Of Zelda Symphony Parking Passes|8||0|0||3|3|0||||
Cameron Carpenter|1||0|0|||0|5| $20 |2|32| $1,503 
Dreamworks Animation in Concert|7||0|0||232|48|0||||
Michael Giacchino|1||0|0||32|32|0||||
Jean-Baptiste Robin|1||0|0||10|10|0||||
Katelyn Emerson|1||0|0||10|10|0||||
Peter Richard Conte|1||0|0||10|10|0||||
Hector Olivera|1||0|0||10|10|0||||
Time For Three|2||0|0|||0|4| $70 |2|2| $140 
Elektra San Francisco|6||0|0||128|29|0||||
Antonio Sanchez|1||0|0||48|48|0||||
Charles Dutoit|3||0|0||47|23|1||0||
Hilary Hahn|5||0|0||47|17|14| $62 |2|44| $2,896 
Our Great Tchaikovsky|24||0|0|||0|2| $82 |2|4| $330 
Turandot Chicago|10||0|0||212|24|0||||
Il Divo Parking Passes|4||0|0||127|63|5| $20 |4|28| $491 
Lyric Opera of Chicago|32||0|0||184|23|0||||
Richard Goode|4||0|0||46|12|2| $75 |4|8| $572 
La Traviata San Francisco|10||0|0||323|33|0||||
Manon San Francisco|6||0|0||198|33|0||||
Houston Symphony Parking Passes|3||0|0||17|17|1| $9 |2|2| $18 
Orfeo ed Euridice Chicago|7||0|0||132|17|0||||
Fellow Travelers Chicago|4||0|0|||0|0||||
The Pearl Fishers - Chicago|7||0|0||96|16|0||||
Faust - Chicago|6||0|0||4|4|0||||
Les Violons du Roy|2||0|0||8|8|2| $70 |2|2| $140 
Daniel Barenboim|2||0|0||6|6|0||||
Le Nozze Di Figaro - New York|11||0|0||1,607|147|9| $154 |10|45| $8,099 
Les Contes d Hoffmann New York|9||0|0||1,476|168|0||||
Thais New York|7||0|0||945|130|0||||
Messiah from Scratch|1||0|0||11|11|1| $48 |13|13| $615 
Too Hot to Handel|3||0|0||142|66|7| $125 |2|13| $1,507 
Hansel and Gretel New York|7||0|0||1,272|196|0||||
Cavalleria Rusticana and Pagliacci New York|7||0|0||1,051|153|19| $105 |8|109| $17,126 
L Elisir d Amore New York|10||0|0||1,479|150|7| $286 |2|15| $4,253 
Il Trovatore tickets - New York|8||0|0||1,178|147|0||||
Parsifal - New York|7||0|0||755|111|0||||
Semiramide New York|8||0|0||598|79|0||||
Elektra - New York|6||0|0||845|147|6| $89 |2|10| $1,594 
Lucia di Lammermoor New York|12||0|0||1,746|147|6| $78 |2|6| $450 
Luisa Miller - New York|7||0|0||576|93|0||||
Cendrillon New York|8||0|0||687|85|0||||
Romeo et Juliette New York|6||0|0||880|151|13| $175 |6|129| $19,870 
National Council Grand Finals Concert|1||0|0||65|65|0||||
Orfeo ed Euridice Los Angeles|6||0|0||28|3|0||||
David Chase|1||0|0||44|44|0||||
The Pearl Fishers Los Angeles|6||0|0||23|4|0||||
La Belle et la Bete Los Angeles|3||0|0||14|4|0||||
Persona Los Angeles|4||0|0|||0|0||||
Candide Los Angeles|6||0|0||63|9|0||||
I Puritani Chicago|7||0|0||180|32|0||||
Rigoletto Los Angeles|6||0|0||26|4|0||||
Crossing Los Angeles|1||0|0|||0|0||||
Usher House Los Angeles|2||0|0|||0|0||||
Milwaukee Symphony Orchestra|2||0|0||10|10|13| $58 |6|87| $6,328 
Fifth House Ensemble|1||0|0|||0|0||||
Dover Quartet|1||0|0|||0|0||||
Spanish Brass|1||0|0|||0|0||||
Sergei Babayan|1||0|0|||0|0||||
Chanticleer|2||0|0||31|31|5| $49 |7|14| $840 
University of Texas Symphony Orchestra|1||0|0|||0|0||||
Handels Messiah|6||0|0||219|4|41| $100 |3|151| $17,385 
Distant Worlds - Music From Final Fantasy Parking Passes|3||0|0|||0|1| $7 |5|5| $52 
New Jersey Symphony|2||0|0||148|74|8| $79 |54|361| $34,395 
Anna Netrebko|1||0|0||11|11|2| $203 |33|67| $14,705 
Jeffrey Siegel|4||0|0||88|22|5||0||
Los Angeles Master Chorale|2||0|0||174|87|13| $62 |2|9| $506 
Placido Domingo Parking Passes|1||0|0|||0|1| $55 |7|7| $389 
Cirque De La Symphonie|1||0|0||26|26|37| $79 |4|124| $10,678 
Leonard Bernstein|7||0|0||107|18|0||||
The Desert Symphony|1||0|0||18|18|1||0||
Black Violin Parking Passes|2||0|0|||0|0||||
